img_id,crc,ira,irb,irc,ird,c_rg,c_rb,c_bg,c_rr,c_gg,c_bb,adhocb1,adhocg1,adhocr1,adhocb2,adhocg2,adhocg3,class
ISIC_0024313.jpg,0.128669687,0.084661135,4.510380253,7.711395304,161.2927375,0.81751214,0.847080352,0.934418139,-0.425458406,-0.054935949,-0.078238586,0.359668453,0.4303592,0.820380669,0.454424652,0.476593824,0.7586029,Melanoma
ISIC_0024315.jpg,0.10433675,0.062632385,2.612242618,27.12996071,671.1442895,0.708434102,0.728287258,0.792326516,-0.381472455,-0.193532955,-0.222853541,1.116054075,1.103687248,1.165309527,0.844142766,0.802457956,0.982074223,Melanoma
ISIC_0024351.jpg,0.091239645,0.037808145,7.910433698,7.898498824,229.965346,0.483498718,0.59054202,0.735675966,-0.800135298,-0.209540163,-0.333417006,0.790589651,0.754043443,0.934547147,0.790163829,0.794914076,0.951882782,Melanoma
ISIC_0024449.jpg,0.020934672,0.073407762,13.91270371,122.0022645,527.3155357,0.603763521,0.65090983,0.723211479,-0.49956372,-0.244710771,-0.315056233,0.750975343,0.680912499,0.682245476,1.008341405,0.967796306,0.93593536,Melanoma
ISIC_0024459.jpg,0.113288018,0.031011988,7.486356942,14.31080276,313.5231443,0.74556083,0.726667063,0.747072277,-0.27488273,-0.272962593,-0.236049712,1.020839333,0.906091693,0.746052091,0.90916962,0.820971153,0.743667721,Melanoma
ISIC_0024481.jpg,0.232912088,0.049382716,4.726431343,4.471172352,112.3145452,0.508868878,0.559773438,0.64491659,-0.608858287,-0.318261434,-0.39611452,1.06712336,0.975587251,0.992911481,0.81571496,0.819111242,0.899295543,Melanoma
ISIC_0024496.jpg,0.210595544,0.036189556,5.095943254,5.605355447,169.3944959,0.702161658,0.72724859,0.845874644,-0.526585368,-0.141427842,-0.168591501,1.109613244,0.956719704,1.020507174,0.888239496,0.778271199,0.890674746,Melanoma
ISIC_0024516.jpg,0.1583659,0.031422347,3.407067333,8.449625434,527.9375163,0.537770766,0.589022498,0.723392556,-0.686767425,-0.245932191,-0.311096828,1.175190957,1.121393721,1.053942304,0.88315624,0.922673002,0.997448464,Melanoma
ISIC_0024537.jpg,0.03654575,0.073388601,6.691802933,23.04287894,542.3185462,0.459522691,0.519834561,0.631335437,-0.703834373,-0.327793816,-0.415111045,0.984047469,0.828710874,0.908299123,0.907130152,0.815040162,0.942656131,Melanoma
ISIC_0024545.jpg,0.107383904,0.034998063,5.923818871,19.42347435,432.3146992,0.75723848,0.776667155,0.821593634,-0.301504263,-0.16995411,-0.198113826,1.597472338,1.211153174,0.864692123,1.202717227,0.833281433,0.737052934,Melanoma
